agency_name,phone,email,city,country
"COSA Propiedades Inmobiliaria Rosario.","5493414262550","contacto@cosapropiedades.com","Rosario","Argentina"
"Haus Propiedades","5493415820465","info@hausprop.com","Rosario","Argentina"
"LIFE Desarrollos Urbanos","5493414827424","consultas@lifedesarrollos.com","Rosario","Argentina"
"Uno Propiedades","5493414498484","info@uno-propiedades.com.ar","Rosario","Argentina"
"Travella Inmobiliaria","5493416767777","inmobiliariatravella@gmail.com","Rosario","Argentina"
"Imperia Propiedades","5493416258588","info@imperiopropiedades.com","Rosario","Argentina"
"Fernandez Civico Asesoramiento Inmobiliario","541156926698","fernandezcivico@gmail.com","Rosario","Argentina"
"Vacker Negocios Inmobiliarios","5493417182512","info@vacker.com.ar","Rosario","Argentina"
"Ellena Propiedades","5493415414489","contacto@ellenainmobiliaria.com.ar","Rosario","Argentina"
"Martín Leal Negocios Inmobiliarios","5493414264450","ventaslealmartin@gmail.com","Rosario","Argentina"
"Prone Servicios Inmobiliarios","541157814600","contacto@prone.com.ar","Rosario","Argentina"
"URBÁNIKA Real Estate","5493413211818","contacto@urbanikaoficial.com","Rosario","Argentina"
"OBRING ARQUITECTURA Moreno 40 bis","5493416491003","info@gruporjg.com.ar","Rosario","Argentina"
"MSR Inversiones y Desarrollos","5498003450828","contacto@msrconstructora.com.ar","Rosario","Argentina"
"Colegio de Corredores Inmobiliarios de Rosario","5493415274004","contacto@cocir.org.ar","Rosario","Argentina"
"AR Inversiones Negocios Inmobiliarios","5493416792590","info@arinversiones.com.ar","Rosario","Argentina"
"FAUDA Propiedades","5493416963199","contacto@faudapropiedades.com.ar","Rosario","Argentina"
"GARGARELLA INMOBILIARIA","5493414494637","walter@wgargarella.com","Rosario","Argentina"
"Bartolelli Maini Propiedades","541155055558","contacto@bmsrl.com.ar","Rosario","Argentina"
"Mariano Lago Inmobiliaria","5493416488940","contacto@marianolago.com.ar","Rosario","Argentina"
"Harraca + Daruich","5493413251825","contacto@harracadaruich.com.ar","Rosario","Argentina"
"Inmobiliaria Piazza","5493418385120","info@piazzainmobiliaria.com.ar","Rosario","Argentina"
"Tatavitto Inmobiliaria","5493414246752","info@tatavitto.com.ar","Rosario","Argentina"
"Terrasol Inmobiliaria","5493413771565","terrasoltomas@gmail.com","Rosario","Argentina"
"Ente Inmobiliaria","5492614239560","info@ente-inmobiliaria.com","Mendoza","Argentina"
"Inmobiliaria Perez Elustondo","5492612416414","fernanda@propiedadesperezelustondo.com","Mendoza","Argentina"
"BONDAR Negocios Inmobiliarios","5492616167660","bondarinmobiliaria@gmail.com","Mendoza","Argentina"
"Ahumada Inmobiliaria","5492614292672","consultasahumadainmobiliaria@gmail.com","Mendoza","Argentina"
"OIKOS Propiedades","5492615274960","oikosorganizacion@gmail.com","Mendoza","Argentina"
"Banco Inmobiliario","5492614293809","info@bancoinmobiliario.com","Mendoza","Argentina"
"Carina Drozd Gestiones Inmobiliarias","541155544806","info@inmodrozd.com.ar","Mendoza","Argentina"
"Inmobiliaria MendozaHomes","5492615279895","mendozahomes@gmail.com","Mendoza","Argentina"
"Di Luca Propiedades","5492615741988","info@dilucapropiedades.com.ar","Mendoza","Argentina"
"ZANFAGNINI propiedades","541155163556","federico@zanfagnini.com","Mendoza","Argentina"
"INMOBILIARIA DIAZ GUIÑAZU","5492614676705","contacto@diazguinazu.com.ar","Mendoza","Argentina"
"Inmobiliaria Fernando Puebla","5492614239282","serviciosinmobiliarios@fpinmobiliaria.com.ar","Mendoza","Argentina"
"Gold Group Argentina ️","5492614582109","info@goldgroupargentina.com","Mendoza","Argentina"
"Del Pueblo Propiedades","5492615067509","delpueblopropiedades@gmail.com","Mendoza","Argentina"
"Daniel Lucca y Asoc. Servicios Inmobiliarios","5492616815608","info@daniellucca.com.ar","Mendoza","Argentina"
"Romanazzi Inmobiliaria","5492614231962","inmobiliariaromanazzi@hotmail.com","Mendoza","Argentina"
"Inmobiliaria Del Aguila","5492613671848","cbarmat@hotmail.com","Mendoza","Argentina"
"FARINA INMOBILIARIA","5492615975760","farinainmobiliaria@gmail.com","Mendoza","Argentina"
"Rodriguez Damonte & Asociados","5492615709544","rodriguezdamonte@gmail.com","Mendoza","Argentina"
"Fanny Cruz Inmuebles","5492616347862","consultas@fannycruzinmuebles.com.ar","Mendoza","Argentina"
"Inmobiliaria CDMX","525511889315","informacion@inmobiliariacdmx.mx","Ciudad de Mexico","Mexico"
"RK Inmobiliaria","525567679097","info@rkinmobiliaria.mx","Ciudad de Mexico","Mexico"
"Inmobiliaria Hábitat SI®","525515391537","habitatsi.clientes@yahoo.com.mx","Ciudad de Mexico","Mexico"
"Tangible Real Estate","525613791717","contacto@tangiblerealestate.mx","Ciudad de Mexico","Mexico"
"Conexión Inmobiliaria","525564934579","ventas@conexion-i.com","Ciudad de Mexico","Mexico"
"CityMax Mexico","525575890332","contacto@citymax-mx.com","Ciudad de Mexico","Mexico"
"Inmobiliaria DIMAK","525625319971","dimakinmobiliaria@gmail.com","Ciudad de Mexico","Mexico"
"INMOBILIARIA Casamax Santa Maria La Ribera","525537173022","contacto@casamax.mx","Ciudad de Mexico","Mexico"
"Inmobiliaria Palma Norte 308, S.A. de C.V.","525555212638","contacto@ipn308.mx","Ciudad de Mexico","Mexico"
"Rayo Vende ®","525555131010","contacto@rayovende.com","Ciudad de Mexico","Mexico"
"RAM HOUSE Agencia Inmobiliaria","525555012579","jorge@ramhouseagenciainmobiliaria.com","Ciudad de Mexico","Mexico"
"Coinnpro","525618611342","contacto@coinnpro.com.mx","Ciudad de Mexico","Mexico"
"Great Homes","525555508433","jose@greathomes.mx","Ciudad de Mexico","Mexico"
"City Home - Tu aliado inmobiliario","525589515109","contacto@cityhomealiado.mx","Ciudad de Mexico","Mexico"
"Inmobiliaria Casamax Doctores","525571593297","contacto@casamax.mx","Ciudad de Mexico","Mexico"
"Blue Integración Inmobiliaria","525555115305","administracion@remaxblue.com","Ciudad de Mexico","Mexico"
"Master Propiedades Inmobiliaria","525577237807","masterpropiedades@outlook.com","Ciudad de Mexico","Mexico"
"Lomaira","523335770299","ventaslomaira@intraurbana.mx","Guadalajara","Mexico"
"Orange Home Inmobiliaria","523316757755","Air@bnb.Distribuci","Guadalajara","Mexico"
"Inmobiliaria Guadalajara En Venta, Sa De Cv","523323397568","lsanchez@inmobiliariaguadalajaraenventa.com","Guadalajara","Mexico"
"Asesores y Casas, Bienes Raíces","528183407073","informacion@asesoresycasas.com.mx","Monterrey","Mexico"
"CASAS 365 | Inmobiliaria en Monterrey","528112880981","hola@casas365.mx","Monterrey","Mexico"
"REALTY EXPERTS MEXICO","528182208480","franquicias@realtyexperts.com.mx","Monterrey","Mexico"
"Ruba Monterrey","528002887822","Servicioalcliente.tijuana@ruba.com.mx","Monterrey","Mexico"
"Grupo Inmobiliario Monterrey, S.A. De C.V.","528183633108","info@grupogim.com.mx","Monterrey","Mexico"
"Realty Experts Herrera & Palacios","528189892929","info@herrerapalacios.com","Monterrey","Mexico"
"RE Brokers Inmobiliaria","528116186277","info@rebrokers.mx","Monterrey","Mexico"
"Fama Inmuebles","528180404080","info@famainmuebles.mx","Monterrey","Mexico"
"Valle Meret - Showroom","528136247228","contacto@vallemeret.com","Monterrey","Mexico"
"Alur Real Estate","528183151637","info@alur.mx","Monterrey","Mexico"
"Grupo Via Inmuebles","528183786238","info@gvia.mx","Monterrey","Mexico"
"NÓBEK","528113596801","hola@nobek.com.mx","Monterrey","Mexico"
"Inmobiliaria 1644","528115555542","contacto@inmobiliaria1644.com","Monterrey","Mexico"
"Mundo Raiz","528184007711","info@mundoraiz.com","Monterrey","Mexico"
"PERFECTPLACE INMUEBLES","528121029716","direccion@perfectplaceinmuebles.com","Monterrey","Mexico"
"Julián Bienes Raíces","528183154043","betty@julianbienesraices.com","Monterrey","Mexico"
"KW Regio Norte","528125178829","info@kwmexico.mx","Monterrey","Mexico"
"Inmobiliaria inmoplus Quito","593984712509","manviz186@gmail.com","Quito","Ecuador"
"Innova Real Estate Ecuador - Inmobiliaria de Lujo","593992792495","gerencia@innovarealstate.com","Quito","Ecuador"
"DINMO Inmobiliaria","593958882555","dinmo.ec@gmail.com","Quito","Ecuador"
"Construinversion Bienes Raíces","593982651312","mmena@construinversion.com","Quito","Ecuador"
"Inmobiliaria La Coruña","593987331373","jrueda@lacoruna.com.ec","Quito","Ecuador"
"Hauser Ecuador Inmobiliaria","593962076487","info@hauserecuador.com","Quito","Ecuador"
"Habitare Inmobiliaria","593998863762","info@habitareinmobiliaria.com","Quito","Ecuador"
"Quito Prime Inmobiliaria","593993577381","quitoprimeinmobiliaria@gmail.com","Quito","Ecuador"
"Grupo ANCON Inmobiliario","593993997842","info@grupoancon.com","Quito","Ecuador"
"Domus Gestión Inmobiliaria","593999837729","gerencia@domus.com.ec","Quito","Ecuador"
"Aquaterra Realty Estate Ecuador","593998002003","ahurtado@aquaterrarealty.com.ec","Quito","Ecuador"
"Inmobiliaria Sur Ecuador — Quito","593998959944","surecuador@gmail.com","Quito","Ecuador"
"GeoBienes","593999256900","info@geobienes.com","Guayaquil","Ecuador"
"Inmobiliaria Inmnova Group bienes raíces","593958735941","info@inmnovar.com","Guayaquil","Ecuador"
"Crecer Inmobiliaria","595213381199","atencion@crecer.com.py","Asuncion","Paraguay"
"Inmobiliaria Nueva Alianza Propiedades","595213283328","ventas1@inmobiliariana.com.py","Asuncion","Paraguay"
"ULTRA Real Estate","595213288696","Co-Founderjorge@ultrarealestate.com.pyGustavo","Asuncion","Paraguay"
"Family Apartments","51987146120","ventas@hldi.pe","Lima","Peru"
"Alfredo Graf & Asociados","51998114235","ventas@alfredograf.com","Lima","Peru"
"Inmobiliaria JY","51966354010","ventas@inmobiliariajy.com","Lima","Peru"
"GRUPO PROYECTA REAL ESTATE | INMOBILIARIA EN LIMA","51917835221","rmendez@proyectarealestate.com","Lima","Peru"
