agency_name,phone,city,country
"Leonor Orejarena Bienes Raices","593997960902","Quito","Ecuador"
"EVOLUTION INMOBILIARIA","593996316709","Quito","Ecuador"
"Aquaterra Realty Estate Ecuador","593998002003","Quito","Ecuador"
"Ikona Inmobiliaria","593962269696","Quito","Ecuador"
"Grace Cevallos Agente Inmobiliaria","593960895800","Quito","Ecuador"
"Inmobiliaria Sur Ecuador — Quito","593998959944","Quito","Ecuador"
"David Ortiz Realtor Inversión Inmobiliaria & Lujo | Exp Realty","593996007799","Quito","Ecuador"
"Merka Inmueble","593979396777","Quito","Ecuador"
"Bienes Raíces Catedral Cía. Ltda. Sucursal Quito","593999827088","Quito","Ecuador"
"Inmobiliaria","593999675236","Quito","Ecuador"
"Inmoplatinum Corporación Inmobiliaria","593995679277","Quito","Ecuador"
"Inmobiliaria Mastarreno","593969139500","Guayaquil","Ecuador"
"Walter Robalino Bienes Raices Ecuador & Real Estate Ecuador","593987738176","Guayaquil","Ecuador"
"Travi - Elite","593989927255","Guayaquil","Ecuador"
"GeoBienes","593999256900","Guayaquil","Ecuador"
"Inmobiliaria Inmnova Group bienes raíces","593958735941","Guayaquil","Ecuador"
"Crecer Inmobiliaria","595213381199","Asuncion","Paraguay"
"Inmobiliaria Nueva Alianza Propiedades","595213283328","Asuncion","Paraguay"
"ULTRA Real Estate","595213288696","Asuncion","Paraguay"
"Urba Inmobiliaria","59521204646","Asuncion","Paraguay"
"Atalaya Inmuebles - Casa Central","59521215040","Asuncion","Paraguay"
"Family Apartments","51987146120","Lima","Peru"
"Ter Inmobiliaria","51981412312","Lima","Peru"
"Alfredo Graf & Asociados","51998114235","Lima","Peru"
"Inmobiliaria JY","51966354010","Lima","Peru"
"Inmobiliaria Inspira","51976311007","Lima","Peru"
"Inmobiliaria de Lima","51986365625","Lima","Peru"
"Agencia Inmobiliaria Portal Inmuebles","51979430101","Lima","Peru"
"GRUPO PROYECTA REAL ESTATE | INMOBILIARIA EN LIMA","51917835221","Lima","Peru"
"Inmobiliaria Ejemplo","5491112345678","Buenos Aires","Argentina"
